Actual Sepsis	Estimated Sepsis	Counts
0.625	0.5	88
0.6732673267326733	0.6	101
0.717741935483871	0.7	124
0.7883211678832117	0.8	137
0.8271604938271605	0.9	81
0.9230769230769231	1.0	39
0.25	0.1	4
0.25	0.2	12
0.29411764705882354	0.3	34
0.3770491803278688	0.4	61
0.6086956521739131	0.5	92
0.6868686868686869	0.6	99
0.7540983606557377	0.7	122
0.792	0.8	125
0.8214285714285714	0.9	84
0.9148936170212766	1.0	47
0.0	0.0	1
0.0	0.1	2
0.25	0.2	12
0.28	0.3	25
0.4230769230769231	0.4	52
0.6082474226804123	0.5	97
0.6203703703703703	0.6	108
0.7086614173228346	0.7	127
0.8045112781954887	0.8	133
0.8461538461538461	0.9	78
0.9555555555555556	1.0	45
0.0	0.0	1
0.2	0.1	5
0.42857142857142855	0.2	21
0.2	0.3	30
0.4423076923076923	0.4	52
0.6176470588235294	0.5	102
0.6633663366336634	0.6	101
0.7266187050359713	0.7	139
0.8148148148148148	0.8	108
0.8589743589743589	0.9	78
0.9069767441860465	1.0	43
0.3333333333333333	0.1	6
0.3125	0.2	16
0.34285714285714286	0.3	35
0.4074074074074074	0.4	54
0.5862068965517241	0.5	87
0.6956521739130435	0.6	115
0.725	0.7	120
0.8151260504201681	0.8	119
0.8072289156626506	0.9	83
0.9111111111111111	1.0	45
