Actual Sepsis Rate	Estimated Sepsis Rate	Counts	Label	Predictions
0.5416666666666666	0.6	24	Protein	0.5020135675119068
0.5510204081632653	0.7	49	Protein	0.5933013237081581
0.6666666666666666	0.8	57	Protein	0.6845890799044094
0.7115384615384616	0.9	52	Protein	0.7758768361006606
0.8648648648648649	1.0	37	Protein	0.8671645922969119
0.0	0.2	3	Protein	0.13686254272690185
0.0	0.3	3	Protein	0.22815029892315308
0.4166666666666667	0.4	12	Protein	0.3194380551194044
0.6111111111111112	0.5	18	Protein	0.4107258113156556
0.4642857142857143	0.6	28	Protein	0.5020135675119068
0.5714285714285714	0.7	49	Protein	0.5933013237081581
0.6610169491525424	0.8	59	Protein	0.6845890799044094
0.7288135593220338	0.9	59	Protein	0.7758768361006606
0.7878787878787878	1.0	33	Protein	0.8671645922969119
