	Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
89	GO_Biological_Process_2023	Blood Coagulation, Fibrin Clot Formation (GO:0072378)	2/14	0.0008672192285085808	0.0058894668485527	0	0	54.439890710382514	383.81313847540514	F12;F13B
90	GO_Biological_Process_2023	Protein Activation Cascade (GO:0072376)	2/14	0.0008672192285085808	0.0058894668485527	0	0	54.439890710382514	383.81313847540514	F12;F13B
91	GO_Biological_Process_2023	Regulation Of Plasminogen Activation (GO:0010755)	2/16	0.0011389541194601	0.0076508004981124	0	0	46.65807962529274	316.2318943313879	CLEC3B;F12
92	GO_Biological_Process_2023	Negative Regulation Of Protein Metabolic Process (GO:0051248)	4/147	0.0011919611723143	0.0079207742418308	0	0	9.384378333530876	63.1770921891824	APCS;F2;CLU;KNG1
93	GO_Biological_Process_2023	Negative Regulation Of Cellular Catabolic Process (GO:0031330)	3/67	0.0012359816413555	0.0081259218548692	0	0	15.52578125	103.95891989482092	APOC1;APOC3;GPLD1
94	GO_Biological_Process_2023	Positive Regulation Of Fatty Acid Metabolic Process (GO:0045923)	2/17	0.0012881987531393	0.0083800718888436	0	0	43.54535519125683	289.7730168913341	APOC2;APOA4
95	GO_Biological_Process_2023	Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045745)	2/18	0.0014462872168013	0.0092327260734136	0	0	40.82172131147541	266.9232566421176	C3;F2
96	GO_Biological_Process_2023	Positive Regulation Of Response To External Stimulus (GO:0032103)	4/155	0.0014491495616846	0.0092327260734136	0	0	8.883600853069929	58.07013020429508	VTN;APOH;PLG;F2
97	GO_Biological_Process_2023	Negative Regulation Of Catabolic Process (GO:0009895)	3/72	0.0015216475319313	0.0095956956605469	0	0	14.397101449275365	93.4078417650356	APOC1;APOA2;APOC3
98	GO_Biological_Process_2023	Negative Regulation Of Fatty Acid Metabolic Process (GO:0045922)	2/19	0.0016131641035403	0.0099693541598796	0	0	38.41851494696239	247.0140604025296	APOC1;APOC3
99	GO_Biological_Process_2023	Regulation Of Smooth Muscle Cell Migration (GO:0014910)	2/19	0.0016131641035403	0.0099693541598796	0	0	38.41851494696239	247.0140604025296	VTN;IGFBP3
100	GO_Biological_Process_2023	Positive Regulation Of Lipid Storage (GO:0010884)	2/20	0.001788774259171	0.0109451731897792	0	0	36.28233151183971	229.5301805177287	C3;APOC4
101	GO_Biological_Process_2023	Regulation Of Lipid Storage (GO:0010883)	2/21	0.0019730627789315	0.0119544391899967	0	0	34.371009490940466	214.06842946223543	C3;APOB
102	GO_Biological_Process_2023	Positive Regulation Of Cholesterol Efflux (GO:0010875)	2/22	0.0021659750080163	0.0129958500480978	0	0	32.65081967213115	200.30901302971847	PON1;APOA1
103	GO_Biological_Process_2023	Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)	4/174	0.0022107579733138	0.0131370041106536	0	0	7.883150548354935	48.20089217688113	APOC2;APOA4;CLU;GPLD1
