Actual Infection	Estimated Infection	Counts
0.8202247191011236	0.9	89
0.7857142857142857	1.0	28
0.0	0.1	4
0.2857142857142857	0.2	7
0.5	0.3	24
0.5409836065573771	0.4	61
0.673469387755102	0.5	98
0.6206896551724138	0.6	116
0.6666666666666666	0.7	123
0.7024793388429752	0.8	121
0.8526315789473684	0.9	95
0.7741935483870968	1.0	31
0.2	0.1	5
0.3333333333333333	0.2	9
0.5135135135135135	0.3	37
0.581081081081081	0.4	74
