Actual Infection	Estimated Infection	Counts
0.4	0.1	5
0.3333333333333333	0.2	6
0.5	0.3	36
0.5285714285714286	0.4	70
0.7111111111111111	0.5	90
0.63	0.6	100
0.6220472440944882	0.7	127
0.7008547008547008	0.8	117
0.8602150537634409	0.9	93
0.8333333333333334	1.0	36
0.2	0.1	5
0.46153846153846156	0.2	13
0.4473684210526316	0.3	38
0.5932203389830508	0.4	59
0.6372549019607843	0.5	102
0.6818181818181818	0.6	110
0.6495726495726496	0.7	117
0.7181818181818181	0.8	110
0.8247422680412371	0.9	97
0.7931034482758621	1.0	29
0.2857142857142857	0.1	7
0.16666666666666666	0.2	6
0.5869565217391305	0.3	46
0.603448275862069	0.4	58
0.6464646464646465	0.5	99
0.625	0.6	104
0.6016260162601627	0.7	123
0.7647058823529411	0.8	119
0.8395061728395061	0.9	81
0.8108108108108109	1.0	37
0.2	0.1	5
0.2727272727272727	0.2	11
0.53125	0.3	32
0.5942028985507246	0.4	69
0.6336633663366337	0.5	101
0.6396396396396397	0.6	111
0.6363636363636364	0.7	121
0.7723577235772358	0.8	123
0.8289473684210527	0.9	76
0.8064516129032258	1.0	31
0.3333333333333333	0.1	3
0.2	0.2	10
0.55	0.3	40
0.5098039215686274	0.4	51
0.6555555555555556	0.5	90
0.6904761904761905	0.6	126
0.5967741935483871	0.7	124
0.7520661157024794	0.8	121
0.8488372093023255	0.9	86
0.7586206896551724	1.0	29
0.0	0.0	2
1.0	0.1	1
0.42857142857142855	0.2	14
0.4583333333333333	0.3	24
0.5	0.4	60
0.7346938775510204	0.5	98
0.6033057851239669	0.6	121
0.625	0.7	112
0.7557251908396947	0.8	131
