	Weight	Feature	Label
243	0.00558968850544653	PLMN_HUMAN	Renal
244	0.005584979141251882	CO4B_HUMAN	Renal
245	0.005490460021173187	TETN_HUMAN	Renal
246	0.005396265029074758	NRP1_HUMAN	Renal
247	0.005330738725296352	LG3BP_HUMAN	Renal
248	0.005257050354721612	PIGR_HUMAN	Renal
249	0.005095840957363327	TIMP1_HUMAN	Renal
250	0.0049517123304320745	SHBG_HUMAN	Renal
251	0.00493421866743734	VCAM1_HUMAN	Renal
252	0.0049333585838867156	1433Z_HUMAN	Renal
253	0.00490150901702062	ANGT_HUMAN	Renal
254	0.00486984461981474	GAPR1_HUMAN	Renal
255	0.004823638407461849	MASP2_HUMAN	Renal
256	0.004788450485925315	ITIH2_HUMAN	Renal
257	0.004767764850835343	AMBP_HUMAN	Renal
258	0.004638860547152254	CO2_HUMAN	Renal
259	0.004536229144589973	QSOX1_HUMAN	Renal
260	0.004524192797536605	GSTO1_HUMAN	Renal
261	0.004361406533663395	PPIA_HUMAN	Renal
262	0.004359554781145636	NOE1_HUMAN	Renal
263	0.004290497130996176	PROF1_HUMAN	Renal
264	0.004269010849523745	SPP24_HUMAN	Renal
265	0.0041911753910690705	FCGBP_HUMAN	Renal
266	0.004154990256195977	CHLE_HUMAN	Renal
267	0.004067971714531573	SAMP_HUMAN	Renal
268	0.003985219276159727	ITIH1_HUMAN	Renal
269	0.0038845289349287992	APOM_HUMAN	Renal
270	0.003805585584882888	H4_HUMAN	Renal
271	0.0036614662666007757	PVR_HUMAN	Renal
272	0.0035768635182880665	A1AT_HUMAN	Renal
273	0.0035699107170872463	RNAS1_HUMAN	Renal
274	0.0034665733463652587	CATD_HUMAN	Renal
275	0.0034245178722960654	A1AG1_HUMAN	Renal
276	0.003364903669415566	PLTP_HUMAN	Renal
277	0.0033515961918827984	CAH2_HUMAN	Renal
278	0.0033277573330620564	CO6A1_HUMAN	Renal
279	0.0032604769472309595	ZPI_HUMAN	Renal
280	0.0032274510483189314	APOL1_HUMAN	Renal
281	0.0032214231633877146	FIBB_HUMAN	Renal
282	0.0029813444882118246	ITA2B_HUMAN	Renal
283	0.002906047613762826	FHR4_HUMAN	Renal
284	0.0029023981666697805	CPN2_HUMAN	Renal
285	0.0027449163111507914	APOB_HUMAN	Renal
286	0.002628601043801013	KLKB1_HUMAN	Renal
287	0.0026186434024553814	FGL1_HUMAN	Renal
288	0.002595572592952769	FIBA_HUMAN	Renal
