sample,reachability,label
309,1.632197862109806,0
310,1.632197862109806,0
311,1.633845496745577,0
312,1.633845496745577,0
313,1.633845496745577,0
314,1.63406141584992,0
315,1.634268397289828,0
316,1.634268397289828,0
317,1.634268397289828,0
318,1.634268397289828,0
319,1.634268397289828,0
320,1.635943695210526,0
321,1.63679086576958,0
322,1.639716810579428,0
323,1.640937790344594,0
324,1.640937790344594,0
325,1.6434847270467,0
326,1.644891269226692,0
327,1.644891269226692,0
328,1.644891269226692,0
329,1.647273885684562,0
330,1.647629448531256,0
331,1.649198797985646,0
332,1.650179112846405,0
333,1.650927406395926,0
334,1.650927406395926,0
335,1.650964924072374,0
336,1.65392780047236,0
337,1.65392780047236,0
338,1.654738275537228,0
339,1.655109545772704,0
340,1.655109545772704,0
341,1.655109545772704,0
342,1.656252076720884,0
343,1.657730804131768,0
344,1.657822591799308,0
345,1.657822591799308,0
346,1.658434400732526,0
347,1.658434400732526,0
348,1.65893989956527,0
349,1.659820563702785,0
350,1.659820563702785,0
351,1.661184776055942,0
352,1.662302881981308,0
353,1.662594185903186,0
354,1.665905142320742,0
355,1.668679776377646,0
356,1.66882478032609,0
357,1.669057931192964,0
358,1.669057931192964,0
359,1.669957173651178,0
360,1.67061477889242,0
361,1.672008918343965,0
362,1.672652707288215,0
363,1.673393906575187,0
364,1.674243972552439,0
365,1.674474796830382,0
366,1.675178773121094,0
367,1.675178773121094,0
368,1.675178773121094,0
369,1.675178773121094,0
370,1.675178773121094,0
371,1.675178773121094,0
372,1.675178773121094,0
373,1.64511986193262,0
374,1.64511986193262,0
375,1.64511986193262,0
376,1.64511986193262,0
377,1.64511986193262,0
378,1.649289995660495,0
379,1.676446961370709,0
380,1.676446961370709,0
381,1.67928075777552,0
382,1.679454119482047,0
383,1.679454119482047,0
384,1.679583563704407,0
385,1.680425345000361,0
386,1.681029365296922,0
387,1.681659540380858,0
388,1.682077851939119,0
389,1.684337411489082,0
390,1.684337411489082,0
391,1.684757412381608,0
392,1.685537037893623,0
393,1.687554874442352,0
394,1.687748384684508,0
395,1.687964524404386,0
396,1.687964524404386,0
397,1.690621036850893,0
398,1.690855743210977,0
399,1.692028864412546,0
400,1.692233511871791,0
401,1.694544110775075,0
402,1.695219627726458,0
403,1.695880499995257,0
404,1.696584245268673,0
405,1.697793628357431,0
406,1.698249684456249,0
407,1.699884646212592,0
408,1.700263048897549,0
409,1.700334417269957,0
410,1.700595556783615,0
411,1.700596761566599,0
412,1.7022943437599,0
413,1.70520948328067,0
414,1.70747209627811,0
415,1.707634193475664,0
416,1.707634193475664,0
417,1.709018399572187,0
418,1.711345131892726,0
419,1.711345131892726,0
420,1.714175226507981,0
421,1.714175226507981,0
422,1.714175226507981,0
423,1.714175226507981,0
424,1.714175226507981,0
425,1.715819913749967,0
426,1.71890863718668,0
427,1.719938847571512,0
428,1.720179248563668,0
429,1.720179248563668,0
430,1.720179248563668,0
431,1.720210081767143,0
432,1.720210081767143,0
433,1.720384850249766,0
434,1.722153979720365,0
435,1.72248269624641,0
436,1.722864397473695,0
437,1.725310750564487,0
438,1.725783558139136,0
439,1.725862790791142,0
440,1.72643203655476,0
441,1.727396444726166,0
442,1.728020106788137,0
443,1.728793871344127,0
444,1.729374728844152,0
445,1.729374728844152,0
446,1.730110578522688,0
447,1.731442009973026,0
448,1.731442009973026,0
449,1.732503037889968,0
450,1.732959040544102,0
451,1.732959040544102,0
452,1.733080958944396,0
453,1.73445345793327,0
454,1.736380116874424,0
455,1.736380116874424,0
456,1.738410322904418,0
457,1.738815819238524,0
458,1.739202064706218,0
459,1.739202064706218,0
460,1.739202064706218,0
461,1.739202064706218,0
462,1.739248536890127,0
463,1.73940073422863,0
464,1.739743500528518,0
465,1.739962824830938,0
466,1.740206535367994,0
467,1.740206535367994,0
468,1.740558229578691,0
469,1.7414198241222,0
470,1.741876467120844,0
471,1.741876467120844,0
472,1.741876467120844,0
473,1.742298227541347,0
474,1.742939105782946,0
475,1.743102164020612,0
476,1.743102164020612,0
477,1.743400503313422,0
478,1.744011513615392,0
479,1.744011513615392,0
480,1.744459336729439,0
481,1.744544920699154,0
482,1.744544920699154,0
483,1.744544920699154,0
484,1.74562554102886,0
485,1.746442113314082,0
486,1.746442113314082,0
487,1.749711997079706,0
488,1.749804134022807,0
489,1.75239595940084,0
490,1.752422578769287,0
491,1.755214898346321,0
492,1.755676955044195,0
493,1.755755428729846,0
494,1.756539496692352,0
495,1.757564907422604,0
496,1.75838522479462,0
497,1.758601010766495,0
498,1.759255753907799,0
499,1.759918767218464,0
500,1.76100248964558,0
501,1.76100248964558,0
502,1.76100248964558,0
503,1.76245840074563,0
504,1.76245840074563,0
505,1.762664471658397,0
506,1.762664471658397,0
507,1.763218857824928,0
508,1.763218857824928,0
509,1.763218857824928,0
510,1.763218857824928,0
511,1.76507562262075,0
512,1.767488165511749,0
513,1.769404164001367,0
514,1.769783289741129,0
515,1.770124287979504,0
516,1.770990382930127,0
517,1.771785779015,0
518,1.772023171646724,0
519,1.773128616376184,0
520,1.773793222012055,0
521,1.773995575553433,0
522,1.774306767745311,0
523,1.774588504421333,0
524,1.775181087096114,0
525,1.77622787578872,0
526,1.77622787578872,0
527,1.77751382545134,0
528,1.777917763116712,0
529,1.778208828258526,0
530,1.778784240019215,0
531,1.778784240019215,0
532,1.779532653179244,0
533,1.781122908216642,0
534,1.781156964000914,0
535,1.781520951704159,0
536,1.781520951704159,0
537,1.781520951704159,0
538,1.78286070432733,0
539,1.78465431649441,0
540,1.784857223960206,0
541,1.78530967822396,0
542,1.786152067198616,0
543,1.786432380108324,0
544,1.78657235748556,0
545,1.78657235748556,0
546,1.787248815120494,0
547,1.788924066770171,0
548,1.74417782582027,0
549,1.74417782582027,0
550,1.74417782582027,0
551,1.74417782582027,0
552,1.790172519716006,0
553,1.791033506302226,0
554,1.791033506302226,0
555,1.791957036415401,0
556,1.793165850952037,0
557,1.793165850952037,0
558,1.793514776494098,0
559,1.793514776494098,0
560,1.794577407745826,0
561,1.794577407745826,0
562,1.794577407745826,0
563,1.795776673725314,0
564,1.799853992901812,0
565,1.799972583956648,0
566,1.800816648199281,0
567,1.802701568286407,0
568,1.802701568286407,0
569,1.804080567577792,0
570,1.804726970588314,0
571,1.804953776342348,0
572,1.805174889058402,0
