feature	importance 0	importance 1	importance 2	Mean Importance	Panel
CHLE	0.05779999343974937	0.13292610784141873	0.25669144649945996	0.14913918259354267	Renal
PSPB	0.054289184264003164	0.20571813113986212	0.18506772320063844	0.14835834620150123	Renal
TAGL2	0.0319941430118653	0.1490824599781228	0.26120563374432504	0.14742741224477104	Renal
COF1	0.06650447686326089	0.148004732578421	0.22600793637825822	0.1468390486066467	Renal
C1QB	0.0802341288114195	0.14180213797612193	0.2163774171434881	0.14613789464367652	Renal
THRB	0.1629364939824519	0.21107843009486857	0.06338252160033767	0.14579914855921938	Renal
PDIA1	0.1317529910774284	0.11815501594210426	0.18304504850284117	0.1443176851741246	Renal
PLTP	0.1118991379877705	0.05622368551134983	0.2622781940987315	0.1434670058659506	Renal
MMP2	0.23807931246452216	0.16100812843163154	0.03109810310778943	0.1433951813346477	Renal
TFR1	0.32428598435013095	0.004600165697227049	0.10110345978734851	0.14332986994490218	Renal
APOF	0.29985121419781136	0.06123521094903274	0.06849736934118683	0.14319459816267696	Renal
TSP4	0.20044326670889767	0.0021211390864802285	0.22007549226403	0.14087996601980265	Renal
CO5	0.04032206433191691	0.2635751540565095	0.11772915292423242	0.1405421237708863	Renal
FCN2	0.10981704261509131	0.1448721295567798	0.16671044659419823	0.1404665395886898	Renal
CSPG2	0.16857471794364814	0.17173138114971448	0.07352377376194304	0.13794329095176855	Renal
IBP7	0.25935015052273885	0.11062783379152077	0.04222492350818661	0.13740096927414877	Renal
PROC	0.11994257204956209	0.09729800195792558	0.19370250711526346	0.13698102704091705	Renal
FHR2	0.1953773981191098	0.19039372566303003	0.02373797706365168	0.13650303361526384	Renal
CO8A	0.09028600947257265	0.002740386648544236	0.31393965440152305	0.1356553501742133	Renal
ITIH1	0.17726549132488817	0.07687051809436238	0.15177923676493438	0.13530508206139497	Renal
F13A	0.2907706915604844	0.06890629317046959	0.04573932220245632	0.13513876897780344	Renal
SAA1	0.0333218106978623	0.16617125841115998	0.20438551388027312	0.13462619432976514	Renal
HGFL	0.18391679359445956	0.20941437658000786	0.008846522106720387	0.13405923076039591	Renal
SEPP1	0.21879655302569603	0.05619684691500882	0.12711977391157767	0.1340377246174275	Renal
TPM4	0.13562159230608328	0.24992459789550864	0.0162988326496206	0.13394834095040417	Renal
AMBP	0.03405766890345654	0.29511988447445076	0.07078661125441747	0.1333213882107749	Renal
PZP	0.06382637164461866	0.11880522590449821	0.21534840842958083	0.13266000199289923	Renal
LIRB1	0.23775136636047625	0.049907614957638034	0.10393982631761536	0.13053293587857653	Renal
C4BPB	0.09327635294312875	0.2655392457577998	0.03248018066753659	0.13043192645615506	Renal
