feature	importance 0	importance 1	importance 2	Mean Importance	Panel
TBB4A	0.052552480592901366	0.04195066106295491	0.3114297672311505	0.13531096962900227	Liver
ICAM2	0.10130118905627646	0.012687886948906348	0.29089736033924973	0.1349621454481442	Liver
AMBP	0.12564484226122574	0.22431521832118012	0.05305190710683809	0.1343373225630813	Liver
HLAB	0.16384389567131025	0.0782147755132672	0.16049478046996002	0.13418448388484583	Liver
PCOC1	0.16237326394691226	0.12586083008759705	0.11070815944111885	0.13298075115854271	Liver
CO7	0.08244445970762491	0.2337446990219486	0.08131880743551215	0.1325026553883619	Liver
NRP1	0.07006543420204166	0.21187780806268533	0.10877527569193049	0.13023950598555248	Liver
RNAS1	0.09346489834762553	0.26282173001660647	0.03073039753020198	0.12900567529814463	Liver
A2AP	0.17788980846870855	0.056524760872949914	0.14595606228191774	0.12679021054119208	Liver
LYSC	0.17966777375346094	0.13151380700699603	0.06821849451132905	0.12646669175726202	Liver
MRC1	0.03179091971115899	0.1774712172724208	0.16456480165850365	0.12460897954736115	Liver
CBG	0.17315375433179062	0.09392592137459795	0.10154404301430692	0.1228745729068985	Liver
APOC4	0.22600800084159928	0.11548867311052968	0.02678788061635835	0.12276151818949577	Liver
LAMP1	0.12191804859739633	0.086271920646608	0.15451251195219717	0.1209008270654005	Liver
ANGI	0.29782265364396654	0.05021294486327272	0.011513316376526517	0.1198496382945886	Liver
COL11	0.017414880468705905	0.007439888243289198	0.33142494567596414	0.11875990479598642	Liver
HBE	0.12160054309498994	0.16383403245234845	0.07007591811214066	0.11850349788649302	Liver
PCYOX	0.04269298386042501	0.2068425546017326	0.10493717371215293	0.11815757072477018	Liver
CO4A	0.0638308071936863	0.12842971126601285	0.15891964131624367	0.11706005325864761	Liver
URP2	0.2620163876420196	0.029078730041654552	0.055700213838856025	0.1155984438408434	Liver
KAIN	0.21674110884532363	0.0003742879708523105	0.12691815789522243	0.11467785157046613	Liver
C1QB	0.13939955084307948	0.1744649588639961	0.02781060535298609	0.11389170502002055	Liver
NCAM1	0.16267122647617815	0.012763901808138571	0.1657210071721953	0.11371871181883735	Liver
C4BPA	0.13025011913676238	0.0546324036019141	0.15497749329838345	0.11328667201235332	Liver
CRAC1	0.2643722862838533	0.0008349942928769572	0.07167904496302732	0.11229544184658587	Liver
FHR3	0.017650822001086253	0.09912005740786924	0.21628421978538767	0.1110183663981144	Liver
FIBB	0.20145606080164852	0.048813579860966	0.07889247981027203	0.10972070682429552	Liver
IC1	0.21770045508560618	0.10535708919944314	0.0027671891518114386	0.10860824447895358	Liver
CRIS3	0.18971318982438462	0.11492153688944624	0.013400212273634497	0.10601164632915511	Liver
CAMP	0.14174834038253314	0.007288902935529492	0.1637709959275282	0.10426941308186362	Liver
CNDP1	0.04222764027210223	0.21405627241510136	0.056115977399926215	0.10413329669570992	Liver
ADA2	0.18323550666081076	0.05445637291374371	0.0738809084125537	0.10385759599570271	Liver
TFR1	0.1676592277177239	1.589459753396248e-05	0.14261790203518626	0.10343100811681472	Liver
