feature	importance 0	importance 1	importance 2	importance 3	importance 4	importance 5	importance 6	importance 7	importance 8	importance 9	Mean Importance	Panel
HGFA	0.9304438204229991	0.7717296616164865	0.8726637050246898	0.6911787042154566	0.9537373087388669	0.8633785537056635	0.8101732237000161	0.8110687421303701	0.8264423994180943	0.7460663729464133	0.8276882491919055	Respiratory
H4	0.6072694957606627	0.8871287900176958	0.7265001020216346	0.7654722717741015	0.7997103402607538	0.7474544175549108	0.7866039213408665	0.9362169487305461	0.6910334384521807	0.8253373031220597	0.7772727029035412	Respiratory
CO8G	0.7177362854342236	0.7968076166923197	0.738494485532756	0.8833524486568084	0.7573975885487164	0.6238913661123064	0.9234337685924265	0.7502014785600228	0.7512627771326942	0.8198748459622319	0.7762452661224507	Respiratory
FHR1	0.6646411703404599	0.7955386531136704	0.7972847914933222	0.6985578788500851	0.7176289384815663	0.7707898707742661	0.7197228374868425	0.74122313658535	0.6840917997625442	0.7957731802553301	0.7385252257143438	Respiratory
A1AG2	0.7342682525220964	0.8252876101903468	0.5959601558776223	0.6158450497277809	0.8178401729407802	0.6820136714266228	0.8745839701706009	0.6303847260658899	0.7215781195364009	0.8507573637735184	0.7348519092231661	Respiratory
ADIPO	0.7447888615843559	0.6391736535134681	0.6351918666468306	0.7135215589811417	0.7216475726115817	0.7750067582785146	0.8568918073662533	0.5942494059570657	0.7422179835301682	0.8328836949247161	0.7255573163394096	Respiratory
FETUA	0.9897099155147836	0.6912890933198963	0.8050783307787246	0.5825405302170079	0.7018326753038749	0.6371495805206089	0.8528930911838896	0.46148829593250584	0.6846138628960391	0.7333466078962538	0.7139941983563585	Respiratory
K1C10	0.7409169040587723	0.6746950960869053	0.5017689272844099	0.738110375401291	0.7493316734078497	0.7349503138614607	0.7032757804697857	0.7059214190629339	0.8679301867703133	0.7207380869921295	0.713763876339585	Respiratory
CD14	0.7264280554914769	0.8773225333707232	0.5815788019591009	0.8391224904889413	0.6995010812994764	0.7333676104830826	0.6186662251806794	0.5522509662765256	0.7387203677929078	0.7594952145877186	0.7126453346930632	Respiratory
APOD	0.7674653406046152	0.6707996077764997	0.7633571452475398	0.6953382833891866	0.7621294318309775	0.7041659061857924	0.767693737480744	0.6739544467367179	0.6481919230527985	0.636074526358089	0.708917034866296	Respiratory
